iter	Passed	Remaining
0	934	933311
1	1674	835576
2	2439	810726
3	3224	802988
4	3973	790821
5	4717	781541
6	5439	771627
7	6132	760380
8	6821	751092
9	7513	743842
10	8208	738020
11	8898	732664
12	9584	727683
13	10297	725243
14	11021	723758
15	11728	721288
16	12439	719288
17	13135	716601
18	13832	714204
19	14518	711385
20	15199	708584
21	15880	705956
22	16584	704472
23	17278	702656
24	17960	700462
25	18654	698829
26	19372	698136
27	20067	696641
28	20761	695163
29	21455	693742
30	22144	692197
31	22824	690450
32	23509	688886
33	24185	687150
34	24869	685697
35	25546	684081
36	26239	682936
37	26936	681929
38	27615	680478
39	28301	679241
40	28992	678133
41	29697	677380
42	30405	676707
43	31107	675883
44	31796	674795
45	32484	673691
46	33156	672292
47	33845	671271
48	34531	670196
49	35225	669290
50	35947	668912
51	36625	667707
52	37314	666740
53	37995	665632
54	38680	664609
55	39354	663405
56	40029	662242
57	40714	661252
58	41388	660118
59	42094	659478
60	42788	658663
61	43568	659141
62	44295	658808
63	44991	657995
64	45727	657772
65	46420	656926
66	47134	656362
67	47844	655752
68	48573	655383
69	49269	654582
70	49994	654149
71	50679	653203
72	51413	652877
73	52157	652678
74	52907	652530
75	53614	651843
76	54327	651224
77	55079	651067
78	55798	650507
79	56510	649874
80	57220	649207
81	57910	648318
82	58596	647390
83	59280	646441
84	59998	645866
85	60701	645133
86	61419	644554
87	62131	643912
88	62839	643222
89	63564	642705
90	64292	642223
91	65015	641672
92	65704	640793
93	66409	640072
94	67117	639384
95	67806	638513
96	68513	637809
97	69206	636982
98	69910	636254
99	70593	635338
100	71281	634476
101	72020	634065
102	72733	633420
103	73432	632650
104	74126	631839
105	74828	631100
106	75520	630277
107	76198	629343
108	76898	628591
109	77606	627907
110	78315	627226
111	79021	626525
112	79723	625795
113	80440	625179
114	81163	624607
115	81885	624024
116	82615	623503
117	83403	623404
118	84123	622796
119	84927	622798
120	85762	623015
121	86594	623194
122	87486	623784
123	88319	623936
124	89165	624160
125	90013	624380
126	90861	624580
127	91709	624771
128	92588	625152
129	93463	625487
130	94286	625456
131	95100	625360
132	95938	625406
133	96766	625370
134	97613	625449
135	98479	625633
136	99462	626538
137	100418	627249
138	101506	628756
139	102573	630094
140	103331	629513
141	104081	628885
142	104836	628288
143	105686	628250
144	106473	627824
145	107210	627108
146	107996	626671
147	108744	626015
148	109472	625244
149	110203	624487
150	110937	623748
151	111696	623146
152	112402	622251
153	113128	621473
154	113891	620891
155	114707	620599
156	115537	620370
157	116278	619660
158	117122	619498
159	117991	619453
160	118841	619302
161	119671	619039
162	120489	618708
163	121307	618372
164	122112	617964
