,Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color
0,3068,0.0024,0.17,16.12,0,Red
1,3042,0.0005,0.1542,16.6,0,Red
2,2600,0.0003,0.102,18.7,0,Red
3,2800,0.0002,0.16,16.65,0,Red
4,1939,0.000138,0.103,20.06,0,Red
5,2840,0.00065,0.11,16.98,0,Red
6,2637,0.00073,0.127,17.22,0,Red
7,2600,0.0004,0.096,17.4,0,Red
8,2650,0.00069,0.11,17.45,0,Red
9,2700,0.00018,0.13,16.05,0,Red
10,3600,0.0029,0.51,10.69,1,Red
11,3129,0.0122,0.3761,11.79,1,Red
12,3134,0.0004,0.196,13.21,1,Red
13,3628,0.0055,0.393,10.48,1,Red
14,2650,0.0006,0.14,11.782,1,Red
15,3340,0.0038,0.24,13.07,1,Red
16,2799,0.0018,0.16,14.79,1,Red
17,3692,0.00367,0.47,10.8,1,Red
18,3192,0.00362,0.1967,13.53,1,Red
19,3441,0.039,0.351,11.18,1,Red
20,25000,0.056,0.0084,10.58,2,Blue White
21,7740,0.00049,0.01234,14.02,2,White
22,7220,0.00017,0.011,14.23,2,White
23,8500,0.0005,0.01,14.5,2,White
24,16500,0.013,0.014,11.89,2,Blue White
25,12990,8.5e-05,0.00984,12.23,2,Yellowish White
26,8570,0.00081,0.0097,14.2,2,Blue white
27,7700,0.00011,0.0128,14.47,2,Yellowish White
28,11790,0.00015,0.011,12.59,2,Yellowish White
29,7230,8e-05,0.013,14.08,2,Pale yellow orange
30,39000,204000.0,10.6,-4.7,3,Blue
31,30000,28840.0,6.3,-4.2,3,Blue-white
32,15276,1136.0,7.2,-1.97,3,Blue-white
33,9700,74.0,2.89,0.16,3,Whitish
34,5800,0.81,0.9,5.05,3,yellow-white
35,8052,8.7,1.8,2.42,3,Whitish
36,6757,1.43,1.12,2.41,3,yellow-white
37,6380,1.35,0.98,2.93,3,yellow-white
38,5936,1.357,1.106,4.46,3,yellow-white
39,5587,0.819,0.99,5.03,3,yellow-white
40,3826,200000.0,19.0,-6.93,4,Red
41,3365,340000.0,23.0,-6.2,4,Red
42,3270,150000.0,88.0,-6.02,4,Red
43,3200,195000.0,17.0,-7.22,4,Red
44,3008,280000.0,25.0,-6.0,4,Red
45,3600,320000.0,29.0,-6.6,4,Red
46,3575,123000.0,45.0,-6.78,4,Red
47,3574,200000.0,89.0,-5.24,4,Red
48,3625,184000.0,84.0,-6.74,4,Red
49,33750,220000.0,26.0,-6.1,4,Blue
50,3490,270000.0,1520.0,-9.4,5,Red
51,3750,283000.0,1260.0,-7.63,5,Red
52,3834,272000.0,1183.0,-9.2,5,Red
53,3749,550000.0,1648.0,-8.05,5,Orange
54,3650,310000.0,1324.0,-7.79,5,Red
55,3450,263000.0,1349.0,-11.75,5,Red
56,3660,363000.0,1673.0,-11.92,5,Red
57,3450,174000.0,1284.0,-11.28,5,Red
58,3752,209000.0,955.0,-11.24,5,Red
59,3535,195000.0,1546.0,-11.36,5,Red
60,3341,0.0056,0.057,16.23,0,Red
61,3432,0.00067,0.19,16.94,0,Red
62,2983,0.00024,0.094,16.09,0,Red
63,2835,0.00034,0.0918,16.96,0,Red
64,2935,0.00014,0.116,18.89,0,Red
65,3295,0.00098,0.132,17.13,0,Red
66,2945,0.00032,0.093,18.34,0,Red
67,2817,0.00098,0.0911,16.45,0,Red
68,2774,0.00036,0.118,17.39,0,Red
69,2871,0.00072,0.12,19.43,0,Red
70,3345,0.021,0.273,12.3,1,Red
71,3607,0.022,0.38,10.12,1,Red
72,3304,0.0085,0.18,13.2,1,Red
73,3150,0.0088,0.35,11.94,1,Red
74,3550,0.004,0.291,10.89,1,Red
75,3180,0.001,0.35,11.76,1,Red
76,2890,0.0034,0.24,13.46,1,Red
77,3342,0.0015,0.307,11.87,1,Red
78,2621,0.0006,0.098,12.81,1,Red
79,3158,0.00135,0.161,13.98,1,Red
80,7100,0.00029,0.012,14.09,2,White-Yellow
81,10574,0.00014,0.0092,12.02,2,White
82,8930,0.00056,0.0095,13.78,2,white
83,17200,0.00098,0.015,12.45,2,Blue White
84,14100,0.00067,0.0089,12.17,2,Blue White
85,9675,0.00045,0.0109,13.98,2,Blue White
86,12010,0.00078,0.0092,12.13,2,Blue White
87,10980,0.00074,0.0087,11.19,2,Blue White
88,13720,0.00018,0.00892,12.97,2,white
89,19860,0.0011,0.0131,11.34,2,Blue 
90,5300,0.59,0.91,5.49,3,yellow-white
91,4526,0.153,0.865,6.506,3,yellowish
92,4077,0.085,0.795,6.228,3,yellowish
93,4980,0.357,1.13,4.78,3,Yellowish
94,9030,45.0,2.63,1.45,3,Blue-white
95,11250,672.0,6.98,-2.3,3,Blue-white
96,5112,0.63,0.876,4.68,3,Orange-Red
97,7720,7.92,1.34,2.44,3,yellow-white
98,12098,689.0,7.01,0.02,3,Blue-white
99,36108,198000.0,10.2,-4.4,3,Blue
100,33300,240000.0,12.0,-6.5,4,Blue
101,40000,813000.0,14.0,-6.23,4,Blue
102,23000,127000.0,36.0,-5.76,4,Blue
103,17120,235000.0,83.0,-6.89,4,Blue
104,11096,112000.0,12.0,-5.91,4,Blue
105,14245,231000.0,42.0,-6.12,4,Blue
106,24630,363000.0,63.0,-5.83,4,Blue
107,12893,184000.0,36.0,-6.34,4,Blue
108,24345,142000.0,57.0,-6.24,4,Blue
109,33421,352000.0,67.0,-5.79,4,Blue
110,3459,100000.0,1289.0,-10.7,5,Red
111,3605,126000.0,1124.0,-10.81,5,Red
112,3615,200000.0,1635.0,-11.33,5,Red
113,3399,117000.0,1486.0,-10.92,5,Red
114,3610,132000.0,1522.0,-10.86,5,Red
115,3553,145000.0,1324.0,-11.03,5,Red
116,4015,282000.0,1534.0,-11.39,5,Red
117,3625,74000.0,876.0,-10.25,5,Red
118,6850,229000.0,1467.0,-10.07,5,Red
